"Interval start","Graph 1"
"74.300","53"
"74.400","58"
"74.500","74"
"74.600","52"
"74.700","60"
"74.800","96"
"74.900","58"
"75.000","56"
"75.100","57"
"75.200","67"
"75.300","63"
"75.400","44"
"75.500","84"
"75.600","34"
"75.700","81"
"75.800","84"
"75.900","41"
"76.000","64"
"76.100","83"
"76.200","35"
"76.300","76"
"76.400","89"
"76.500","24"
"76.600","34"
"76.700","49"
"76.800","51"
"76.900","61"
"77.000","26"
"77.100","56"
"77.200","54"
"77.300","44"
"77.400","69"
"77.500","28"
"77.600","113"
"77.700","48"
"77.800","78"
"77.900","83"
"78.000","62"
"78.100","119"
"78.200","38"
"78.300","95"
"78.400","80"
"78.500","68"
"78.600","116"
"78.700","87"
"78.800","38"
"78.900","80"
"79.000","42"
"79.100","114"
"79.200","41"
"79.300","98"
"79.400","75"
"79.500","78"
"79.600","77"
"79.700","50"
"79.800","50"
"79.900","112"
"80.000","89"
"80.100","69"
"80.200","91"
"80.300","110"
"80.400","65"
"80.500","109"
"80.600","71"
"80.700","74"
"80.800","105"
"80.900","35"
"81.000","68"
"81.100","68"
"81.200","75"
"81.300","75"
"81.400","24"
"81.500","91"
"81.600","34"
"81.700","122"
"81.800","41"
"81.900","107"
"82.000","69"
"82.100","67"
"82.200","89"
"82.300","98"
"82.400","47"
"82.500","97"
"82.600","47"
"82.700","82"
"82.800","75"
"82.900","67"
"83.000","93"
"83.100","88"
"83.200","75"
"83.300","79"
"83.400","47"
"83.500","100"
"83.600","51"
"83.700","54"
"83.800","41"
"83.900","36"
"84.000","37"
"84.100","63"
"84.200","41"
"84.300","62"
"84.400","47"
"84.500","37"
"84.600","38"
"84.700","58"
"84.800","36"
"84.900","54"
"85.000","34"
"85.100","54"
"85.200","41"
"85.300","58"
"85.400","32"
"85.500","68"
"85.600","29"
"85.700","64"
"85.800","39"
"85.900","35"
"86.000","70"
"86.100","28"
"86.200","47"
"86.300","45"
"86.400","32"
"86.500","71"
"86.600","38"
"86.700","48"
"86.800","33"
"86.900","52"
"87.000","38"
"87.100","66"
"87.200","28"
"87.300","44"
"87.400","45"
"87.500","55"
"87.600","29"
"87.700","28"
"87.800","24"
"87.900","44"
"88.000","41"
"88.100","39"
"88.200","36"
"88.300","46"
"88.400","21"
"88.500","51"
"88.600","46"
"88.700","30"
"88.800","31"
"88.900","67"
"89.000","28"
"89.100","53"
"89.200","43"
"89.300","27"
"89.400","35"
"89.500","70"
"89.600","43"
"89.700","19"
"89.800","26"
"89.900","86"
"90.000","27"
"90.100","70"
"90.200","41"
"90.300","70"
"90.400","56"
"90.500","57"
"90.600","53"
"90.700","69"
"90.800","42"
"90.900","45"
"91.000","29"
"91.100","69"
"91.200","47"
"91.300","52"
"91.400","42"
"91.500","65"
"91.600","19"
"91.700","32"
"91.800","27"
"91.900","38"
"92.000","21"
"92.100","51"
"92.200","36"
"92.300","30"
"92.400","39"
"92.500","31"
"92.600","20"
"92.700","41"
"92.800","25"
"92.900","21"
"93.000","33"
"93.100","29"
"93.200","29"
"93.300","34"
"93.400","21"
"93.500","28"
"93.600","16"
"93.700","32"
"93.800","21"
"93.900","28"
"94.000","43"
"94.100","24"
"94.200","97"
"94.300","15"
"94.400","23"
"94.500","18"
"94.600","11"
"94.700","17"
"94.800","9"
"94.900","22"
"95.000","22"
"95.100","11"
"95.200","17"
"95.300","13"
"95.400","8"
"95.500","19"
"95.600","15"
"95.700","8"
"95.800","10"
"95.900","12"
"96.000","6"
"96.100","196"
"96.200","45"
"96.300","117"
"96.400","93"
"96.500","82"
"96.600","100"
"96.700","83"
"96.800","61"
"96.900","132"
"97.000","60"
"97.100","131"
"97.200","89"
"97.300","90"
"97.400","85"
"97.500","68"
"97.600","55"
"97.700","78"
"97.800","27"
"97.900","122"
"98.000","31"
"98.100","62"
"98.200","98"
"98.300","64"
"98.400","75"
"98.500","70"
"98.600","85"
"98.700","105"
"98.800","43"
"98.900","87"
"99.000","43"
"99.100","110"
"99.200","49"
"99.300","99"
"99.400","77"
"99.500","77"
"99.600","97"
"99.700","96"
"99.800","91"
"99.900","75"
"100.000","33"
"100.100","72"
"100.200","67"
"100.300","51"
"100.400","74"
"100.500","44"
"100.600","45"
"100.700","113"
"100.800","91"
"100.900","106"
"101.000","71"
"101.100","102"
"101.200","54"
"101.300","71"
"101.400","98"
"101.500","100"
"101.600","70"
"101.700","70"
"101.800","56"
"101.900","108"
"102.000","121"
"102.100","74"
"102.200","102"
"102.300","114"
"102.400","61"
"102.500","89"
"102.600","79"
"102.700","116"
"102.800","86"
"102.900","121"
"103.000","83"
"103.100","105"
"103.200","76"
"103.300","97"
"103.400","101"
"103.500","146"
"103.600","126"
"103.700","69"
"103.800","78"
"103.900","98"
"104.000","82"
"104.100","88"
"104.200","106"
"104.300","107"
"104.400","85"
"104.500","87"
"104.600","81"
"104.700","77"
"104.800","79"
"104.900","78"
"105.000","67"
"105.100","102"
"105.200","90"
"105.300","64"
"105.400","54"
"105.500","107"
"105.600","46"
"105.700","72"
"105.800","49"
"105.900","70"
"106.000","45"
"106.100","125"
"106.200","37"
"106.300","73"
"106.400","54"
"106.500","65"
"106.600","80"
"106.700","55"
"106.800","114"
"106.900","44"
"107.000","44"
"107.100","96"
"107.200","47"
"107.300","67"
"107.400","51"
"107.500","66"
"107.600","40"
"107.700","111"
"107.800","51"
"107.900","48"
"108.000","78"
"108.100","74"
"108.200","71"
"108.300","92"
"108.400","51"
"108.500","112"
"108.600","60"
"108.700","93"
"108.800","49"
