"Interval start","Graph 1","Graph 2","Graph 3"
"67.200","138","1428","640"
"67.300","121","1474","622"
"67.400","139","1442","788"
"67.500","143","1449","843"
"67.600","86","1435","1056"
"67.700","192","1498","459"
"67.800","168","1468","758"
"67.900","182","1467","436"
"68.000","205","1490","440"
"68.100","200","1467","651"
"68.200","218","1461","382"
"68.300","214","1485","432"
"68.400","308","1493","330"
"68.500","141","1477","866"
"68.600","292","1509","317"
"68.700","201","1491","454"
"68.800","212","1451","546"
"68.900","268","1473","331"
"69.000","202","1483","547"
"69.100","264","1475","380"
"69.200","231","1475","408"
"69.300","282","1485","363"
"69.400","193","1492","417"
"69.500","211","1487","580"
"69.600","212","1483","396"
"69.700","207","1479","480"
"69.800","253","1495","459"
"69.900","260","1468","377"
"70.000","201","1481","411"
"70.100","184","1482","432"
"70.200","300","1494","378"
"70.300","270","1474","437"
"70.400","178","1479","524"
"70.500","174","1475","658"
"70.600","72","1399","1292"
"70.700","86","1437","946"
"70.800","50","1344","1602"
"70.900","129","1428","1025"
"71.000","82","1416","1158"
"71.100","84","1406","1170"
"71.200","84","1437","975"
"71.300","115","1417","1188"
"71.400","45","1363","1662"
"71.500","90","1463","1036"
"71.600","85","1385","1405"
"71.700","96","1425","982"
"71.800","60","1422","1987"
"71.900","115","1392","808"
"72.000","82","1398","1058"
"72.100","73","1372","1338"
"72.200","54","1391","2140"
"72.300","68","1348","1424"
"72.400","44","1389","2126"
"72.500","33","1342","2434"
"72.600","171","1482","796"
"72.700","105","1420","765"
"72.800","77","1449","1110"
"72.900","84","1361","1541"
"73.000","119","1459","867"
"73.100","79","1441","1210"
"73.200","58","1360","1478"
"73.300","66","1294","1714"
"73.400","145","1486","730"
"73.500","71","1448","948"
"73.600","88","1393","1493"
"73.700","67","1418","1305"
"73.800","29","1144","2973"
"73.900","86","1431","1182"
"74.000","171","1485","508"
"74.100","191","1452","720"
"74.200","83","1397","989"
"74.300","148","1487","580"
"74.400","169","1444","727"
"74.500","120","1478","814"
"74.600","107","1462","1060"
"74.700","124","1446","722"
"74.800","176","1443","574"
"74.900","117","1426","879"
"75.000","83","1402","875"
"75.100","134","1448","907"
"75.200","120","1455","828"
"75.300","86","1401","1310"
"75.400","144","1457","624"
"75.500","136","1456","627"
"75.600","72","1408","1247"
"75.700","194","1459","620"
"75.800","156","1469","734"
"75.900","108","1442","787"
"76.000","99","1436","794"
"76.100","181","1452","743"
"76.200","84","1441","954"
"76.300","175","1488","539"
"76.400","189","1472","648"
"76.500","124","1469","708"
"76.600","100","1437","826"
"76.700","173","1460","597"
"76.800","108","1453","1210"
"76.900","167","1454","489"
"77.000","151","1445","666"
"77.100","136","1421","836"
"77.200","155","1461","606"
"77.300","77","1422","999"
"77.400","198","1465","627"
"77.500","131","1466","755"
"77.600","104","1404","896"
"77.700","154","1472","619"
"77.800","107","1463","1132"
"77.900","206","1476","483"
"78.000","71","1422","1024"
"78.100","171","1447","741"
"78.200","123","1459","809"
"78.300","65","1436","1083"
"78.400","168","1472","748"
"78.500","60","1430","1451"
"78.600","193","1449","544"
"78.700","142","1460","705"
"78.800","118","1443","955"
"78.900","140","1446","667"
"79.000","65","1402","1214"
"79.100","153","1438","553"
"79.200","171","1428","778"
"79.300","119","1478","743"
"79.400","97","1431","1249"
"79.500","149","1455","671"
"79.600","139","1461","719"
"79.700","113","1468","676"
"79.800","146","1464","687"
"79.900","127","1382","958"
"80.000","146","1469","580"
"80.100","140","1453","619"
"80.200","199","1471","622"
"80.300","102","1443","853"
"80.400","118","1432","848"
"80.500","40","1336","2211"
"80.600","295","1495","441"
"80.700","239","1498","400"
"80.800","207","1490","389"
"80.900","318","1487","389"
"81.000","210","1490","434"
"81.100","184","1472","430"
"81.200","249","1491","521"
"81.300","255","1485","391"
"81.400","179","1478","529"
"81.500","125","1457","646"
"81.600","169","1448","718"
"81.700","129","1464","712"
"81.800","142","1483","586"
"81.900","197","1474","649"
"82.000","184","1460","466"
"82.100","142","1467","642"
"82.200","214","1489","573"
"82.300","162","1456","384"
"82.400","231","1469","569"
"82.500","166","1468","493"
"82.600","182","1483","683"
"82.700","249","1481","368"
"82.800","157","1474","582"
"82.900","196","1454","596"
"83.000","109","1435","826"
"83.100","182","1474","471"
"83.200","222","1470","512"
"83.300","146","1457","541"
"83.400","224","1455","556"
"83.500","141","1477","636"
"83.600","186","1474","627"
"83.700","203","1471","489"
"83.800","164","1463","492"
"83.900","154","1466","526"
"84.000","247","1475","532"
"84.100","260","1483","402"
"84.200","148","1431","689"
"84.300","166","1479","417"
"84.400","238","1481","552"
"84.500","143","1444","553"
"84.600","95","1437","858"
"84.700","147","1435","905"
"84.800","111","1442","737"
"84.900","123","1437","1011"
"85.000","181","1456","504"
"85.100","149","1471","730"
"85.200","128","1435","653"
"85.300","98","1445","930"
"85.400","149","1455","817"
"85.500","96","1464","950"
"85.600","86","1471","939"
"85.700","125","1422","1047"
"85.800","80","1440","1019"
"85.900","80","1356","1468"
"86.000","110","1425","683"
"86.100","124","1440","991"
"86.200","101","1405","916"
"86.300","108","1419","747"
"86.400","146","1456","888"
"86.500","163","1435","519"
"86.600","129","1442","719"
"86.700","175","1433","688"
"86.800","138","1445","604"
"86.900","145","1437","734"
"87.000","201","1488","453"
"87.100","183","1476","501"
"87.200","186","1459","649"
"87.300","161","1461","575"
"87.400","145","1467","797"
"87.500","287","1503","324"
"87.600","143","1465","644"
"87.700","164","1462","674"
"87.800","141","1487","667"
"87.900","235","1478","467"
"88.000","137","1482","612"
"88.100","138","1473","656"
"88.200","147","1468","760"
"88.300","136","1468","693"
"88.400","146","1484","817"
"88.500","197","1483","508"
"88.600","170","1461","504"
"88.700","191","1475","597"
"88.800","132","1456","543"
"88.900","113","1423","1072"
"89.000","160","1484","533"
"89.100","136","1447","683"
"89.200","244","1480","528"
"89.300","166","1451","498"
"89.400","161","1468","570"
"89.500","229","1478","515"
"89.600","159","1491","571"
"89.700","257","1485","414"
"89.800","161","1460","566"
"89.900","230","1489","516"
"90.000","175","1425","524"
"90.100","152","1478","531"
"90.200","238","1469","528"
"90.300","99","1455","875"
"90.400","54","1414","1464"
"90.500","95","1422","1395"
"90.600","104","1397","975"
"90.700","64","1400","1437"
"90.800","73","1412","1109"
"90.900","66","1385","1953"
"91.000","102","1422","833"
"91.100","65","1382","1243"
"91.200","108","1424","1242"
"91.300","91","1397","910"
"91.400","59","1349","1536"
"91.500","145","1464","866"
"91.600","100","1441","675"
"91.700","111","1461","1076"
"91.800","84","1426","1115"
"91.900","83","1377","1447"
"92.000","94","1423","883"
"92.100","127","1447","736"
"92.200","81","1393","1462"
"92.300","70","1420","1355"
"92.400","66","1415","1206"
"92.500","141","1446","812"
"92.600","91","1422","893"
"92.700","137","1420","958"
"92.800","99","1457","830"
"92.900","136","1424","888"
"93.000","123","1431","774"
"93.100","71","1425","1123"
"93.200","38","1305","2344"
"93.300","66","1354","1858"
"93.400","78","1414","1431"
"93.500","63","1406","1297"
"93.600","66","1407","1386"
"93.700","103","1401","1183"
"93.800","74","1402","1243"
"93.900","72","1452","1131"
"94.000","113","1433","1081"
"94.100","71","1347","1273"
"94.200","80","1426","1503"
"94.300","101","1428","940"
"94.400","98","1443","1031"
"94.500","69","1400","1323"
"94.600","69","1410","1178"
"94.700","91","1447","1442"
"94.800","171","1471","474"
"94.900","33","1347","2467"
"95.000","99","1388","1322"
"95.100","79","1390","1094"
"95.200","43","1359","2044"
"95.300","83","1368","1250"
"95.400","34","1261","2354"
"95.500","93","1379","1419"
"95.600","69","1424","1379"
"95.700","53","1324","2200"
"95.800","77","1422","1213"
"95.900","34","1225","2364"
"96.000","89","1393","1469"
"96.100","63","1348","1360"
"96.200","49","1314","2013"
"96.300","82","1267","1408"
"96.400","73","1299","1370"
"96.500","60","1367","1483"
"96.600","57","1437","1490"
"96.700","43","1346","2054"
"96.800","84","1358","1450"
"96.900","32","1255","2843"
"97.000","84","1419","1465"
"97.100","104","1434","977"
"97.200","57","1369","1648"
"97.300","57","1366","1454"
"97.400","20","1238","4044"
"97.500","68","1416","1936"
"97.600","39","1264","2123"
"97.700","30","1329","2984"
"97.800","187","1460","692"
"97.900","138","1466","786"
"98.000","170","1454","588"
"98.100","203","1465","380"
"98.200","252","1475","487"
"98.300","190","1475","498"
"98.400","207","1492","398"
"98.500","303","1494","399"
"98.600","194","1474","467"
"98.700","188","1496","442"
"98.800","235","1474","544"
"98.900","229","1478","375"
"99.000","255","1477","396"
"99.100","173","1432","529"
"99.200","227","1480","533"
"99.300","200","1464","479"
"99.400","177","1472","463"
"99.500","265","1481","459"
"99.600","176","1479","523"
"99.700","190","1468","432"
"99.800","168","1455","729"
"99.900","80","1408","1284"
"100.000","68","1412","1208"
"100.100","100","1388","988"
"100.200","92","1344","1258"
"100.300","104","1420","887"
"100.400","94","1446","917"
"100.500","64","1342","1937"
"100.600","101","1460","825"
"100.700","77","1422","1244"
"100.800","107","1459","1141"
"100.900","57","1329","1037"
"101.000","141","1422","925"
"101.100","86","1439","1011"
"101.200","57","1412","1537"
"101.300","131","1370","944"
"101.400","46","1368","1929"
"101.500","134","1461","919"
"101.600","104","1462","890"
"101.700","116","1436","718"
"101.800","176","1473","587"
"101.900","118","1431","765"
"102.000","156","1470","835"
"102.100","147","1417","669"
"102.200","127","1460","799"
"102.300","146","1449","663"
"102.400","86","1452","911"
"102.500","80","1417","1148"
"102.600","127","1412","964"
"102.700","92","1409","1199"
"102.800","100","1401","835"
"102.900","81","1426","997"
"103.000","130","1394","1020"
"103.100","91","1427","909"
"103.200","76","1438","1189"
"103.300","121","1447","1009"
"103.400","92","1397","993"
"103.500","76","1421","1068"
"103.600","120","1437","934"
"103.700","129","1427","949"
"103.800","79","1458","1149"
"103.900","89","1400","920"
"104.000","94","1409","1357"
"104.100","114","1455","756"
"104.200","81","1405","1003"
"104.300","104","1442","1274"
"104.400","90","1409","923"
"104.500","72","1442","1127"
"104.600","111","1421","1009"
"104.700","73","1395","1112"
"104.800","108","1430","1222"
"104.900","74","1427","1103"
"105.000","86","1449","1496"
"105.100","102","1438","830"
"105.200","78","1421","1177"
"105.300","109","1427","1130"
"105.400","71","1453","1142"
"105.500","112","1421","1055"
"105.600","70","1444","1079"
"105.700","72","1439","1263"
"105.800","204","1465","599"
