"Interval start","Graph 1","Graph 2","Graph 3"
"48.300","800","812","125"
"48.400","1082","816","92"
"48.500","728","800","137"
"48.600","971","810","103"
"48.700","1082","809","92"
"48.800","941","794","106"
"48.900","785","805","127"
"49.000","763","808","130"
"49.100","1051","796","95"
"49.200","1048","803","95"
"49.300","912","811","109"
"49.400","1067","790","93"
"49.500","1145","806","87"
"49.600","993","802","100"
"49.700","928","793","108"
"49.800","870","803","114"
"49.900","1130","810","88"
"50.000","910","796","109"
"50.100","869","791","113"
"50.200","811","804","124"
"50.300","904","786","110"
"50.400","976","807","101"
"50.500","1038","893","96"
"50.600","912","790","110"
"50.700","1113","790","89"
"50.800","1052","810","95"
"50.900","1154","786","86"
"51.000","999","911","99"
"51.100","1181","916","84"
"51.200","1202","846","83"
"51.300","1121","851","89"
"51.400","1068","882","93"
"51.500","994","856","100"
"51.600","856","885","116"
"51.700","1090","872","91"
"51.800","964","852","103"
"51.900","1036","836","96"
"52.000","979","851","102"
"52.100","1053","889","95"
"52.200","1185","791","84"
"52.300","909","988","110"
"52.400","1095","842","91"
"52.500","883","882","112"
"52.600","1015","863","99"
"52.700","1124","876","88"
"52.800","842","923","119"
"52.900","997","869","100"
"53.000","1099","857","90"
"53.100","1021","838","97"
"53.200","1164","886","85"
"53.300","831","874","120"
"53.400","1163","873","86"
"53.500","1066","844","93"
"53.600","1055","894","94"
"53.700","1103","858","91"
"53.800","1032","915","97"
"53.900","1041","868","95"
"54.000","880","890","114"
"54.100","1037","859","95"
"54.200","1066","858","94"
"54.300","790","850","123"
"54.400","822","890","124"
"54.500","823","832","118"
"54.600","960","873","106"
"54.700","989","865","101"
"54.800","946","822","105"
"54.900","1063","891","94"
"55.000","793","874","125"
"55.100","727","819","138"
"55.200","1002","881","99"
"55.300","750","905","133"
"55.400","1001","877","99"
"55.500","940","885","96"
"55.600","739","908","147"
"55.700","808","831","124"
"55.800","727","868","137"
"55.900","1035","892","96"
"56.000","749","931","133"
"56.100","332","846","290"
"56.200","492","838","210"
"56.300","355","771","277"
"56.400","636","805","159"
"56.500","700","816","142"
"56.600","749","775","133"
"56.700","751","802","133"
"56.800","656","839","151"
"56.900","879","790","114"
"57.000","705","804","141"
"57.100","703","808","142"
"57.200","832","778","112"
"57.300","315","815","307"
"57.400","676","828","162"
"57.500","1025","778","97"
"57.600","904","794","110"
"57.700","981","824","100"
"57.800","780","787","128"
"57.900","954","789","105"
"58.000","793","814","126"
"58.100","951","789","105"
"58.200","760","797","130"
"58.300","826","799","121"
"58.400","860","782","116"
"58.500","910","803","109"
"58.600","837","820","119"
"58.700","1037","787","96"
"58.800","844","814","118"
"58.900","944","810","105"
"59.000","785","785","127"
"59.100","912","808","110"
"59.200","1045","817","95"
"59.300","856","811","116"
"59.400","996","800","100"
"59.500","1074","807","93"
"59.600","882","777","113"
"59.700","916","805","108"
"59.800","979","817","102"
"59.900","1028","786","97"
"60.000","889","786","112"
"60.100","976","809","102"
"60.200","924","785","108"
"60.300","838","797","116"
"60.400","1059","816","96"
"60.500","1021","798","97"
"60.600","910","806","109"
"60.700","1102","815","90"
"60.800","839","772","119"
"60.900","1042","806","96"
"61.000","1135","903","88"
"61.100","947","873","105"
"61.200","1050","848","95"
"61.300","1081","881","92"
"61.400","847","827","118"
"61.500","1262","895","79"
"61.600","1025","914","95"
"61.700","1164","872","87"
"61.800","904","857","110"
"61.900","1016","930","98"
"62.000","1112","917","89"
"62.100","862","865","114"
"62.200","1078","935","93"
"62.300","1090","807","92"
"62.400","1002","970","99"
"62.500","1120","935","88"
"62.600","992","880","101"
"62.700","957","898","104"
"62.800","983","864","101"
"62.900","1216","894","82"
"63.000","1052","916","94"
"63.100","990","888","102"
"63.200","948","945","105"
"63.300","982","830","101"
"63.400","1080","959","92"
"63.500","1035","858","97"
"63.600","781","945","127"
"63.700","878","906","113"
"63.800","1081","941","90"
"63.900","447","892","209"
"64.000","904","1005","117"
"64.100","1045","895","97"
"64.200","972","915","102"
"64.300","1148","956","87"
"64.400","1104","859","90"
"64.500","937","934","106"
"64.600","851","927","117"
"64.700","928","939","107"
"64.800","918","892","107"
"64.900","687","914","147"
"65.000","682","848","145"
"65.100","607","1002","166"
"65.200","1026","952","97"
"65.300","1012","820","98"
"65.400","1107","902","90"
"65.500","708","880","141"
"65.600","975","911","102"
"65.700","830","871","120"
"65.800","1013","959","98"
"65.900","741","955","135"
"66.000","772","878","128"
"66.100","1109","946","90"
"66.200","1127","823","87"
"66.300","1157","898","87"
"66.400","1188","907","84"
"66.500","961","857","104"
"66.600","1292","888","77"
"66.700","948","841","105"
"66.800","1190","922","83"
"66.900","1211","883","82"
"67.000","849","939","118"
"67.100","1197","892","83"
"67.200","699","927","143"
"67.300","1025","872","96"
"67.400","1120","896","90"
"67.500","986","849","101"
"67.600","1226","906","81"
"67.700","842","862","118"
"67.800","964","815","103"
"67.900","823","876","119"
"68.000","577","923","174"
"68.100","817","852","123"
"68.200","907","881","110"
"68.300","815","841","122"
"68.400","575","908","174"
"68.500","405","974","246"
"68.600","886","870","112"
"68.700","1045","856","95"
"68.800","972","858","102"
"68.900","797","841","125"
"69.000","914","864","109"
"69.100","807","847","122"
"69.200","817","859","123"
"69.300","1103","869","90"
"69.400","1125","876","88"
"69.500","964","820","103"
"69.600","1239","860","80"
"69.700","942","875","106"
"69.800","1094","818","91"
"69.900","1140","831","87"
"70.000","1001","887","100"
"70.100","974","830","102"
"70.200","1040","883","95"
"70.300","967","872","104"
"70.400","1091","838","92"
"70.500","1271","835","78"
"70.600","1058","872","94"
"70.700","977","816","98"
"70.800","944","873","109"
"70.900","1042","880","96"
"71.000","1131","876","88"
"71.100","1049","803","94"
"71.200","1020","816","98"
"71.300","1153","789","85"
"71.400","1099","802","91"
"71.500","1108","804","89"
"71.600","1168","794","85"
"71.700","839","794","118"
"71.800","918","805","109"
"71.900","1071","781","93"
"72.000","901","795","110"
"72.100","1055","818","94"
"72.200","1134","787","88"
"72.300","844","800","118"
"72.400","1157","818","86"
"72.500","880","768","113"
"72.600","1064","804","93"
"72.700","1014","812","98"
"72.800","1086","782","92"
"72.900","1054","803","94"
"73.000","1026","818","97"
"73.100","1074","802","93"
"73.200","790","798","126"
"73.300","1179","819","84"
"73.400","1135","781","87"
"73.500","1035","802","97"
"73.600","1065","814","93"
"73.700","1011","795","99"
"73.800","1022","796","97"
"73.900","1294","804","77"
"74.000","1024","779","97"
"74.100","1098","792","90"
"74.200","943","819","105"
"74.300","1038","788","97"
"74.400","968","800","103"
"74.500","826","816","120"
"74.600","903","794","111"
"74.700","723","806","134"
"74.800","982","815","104"
"74.900","1035","792","96"
"75.000","997","803","100"
"75.100","1182","805","84"
"75.200","1097","783","91"
"75.300","981","792","101"
"75.400","1209","812","82"
"75.500","1061","768","94"
"75.600","977","804","102"
"75.700","1258","798","79"
"75.800","944","794","105"
"75.900","1189","789","84"
"76.000","1047","813","95"
"76.100","1106","776","90"
"76.200","1057","801","94"
"76.300","1208","812","82"
"76.400","1120","802","87"
"76.500","1001","787","102"
"76.600","1186","816","84"
"76.700","1116","787","89"
"76.800","1176","801","84"
"76.900","1230","807","81"
"77.000","1002","784","98"
"77.100","1137","813","88"
"77.200","1082","811","92"
"77.300","1074","778","93"
"77.400","1174","788","84"
"77.500","1226","809","81"
"77.600","1159","795","86"
"77.700","1216","797","82"
"77.800","1140","794","87"
"77.900","1318","781","75"
"78.000","1080","795","92"
"78.100","1301","810","77"
"78.200","991","778","100"
"78.300","1170","800","85"
"78.400","1048","817","95"
"78.500","890","796","112"
"78.600","1036","792","96"
"78.700","1318","802","75"
"78.800","1186","795","85"
"78.900","1296","801","76"
"79.000","1027","808","97"
"79.100","1271","794","79"
"79.200","988","816","101"
"79.300","804","832","124"
"79.400","1129","795","88"
"79.500","754","785","113"
"79.600","334","793","343"
"79.700","826","780","119"
"79.800","950","789","106"
"79.900","848","812","117"
"80.000","802","777","123"
"80.100","524","800","193"
"80.200","469","822","199"
"80.300","659","781","161"
"80.400","1064","809","93"
"80.500","1157","805","86"
"80.600","1100","785","90"
"80.700","1060","799","94"
"80.800","1076","814","93"
"80.900","1091","787","91"
"81.000","909","884","109"
"81.100","1001","827","100"
"81.200","908","784","110"
"81.300","666","801","150"
"81.400","636","807","156"
"81.500","609","757","164"
"81.600","768","797","129"
"81.700","1038","809","96"
"81.800","798","761","124"
"81.900","1048","807","95"
"82.000","793","812","125"
"82.100","702","784","143"
"82.200","1030","804","97"
"82.300","810","804","123"
"82.400","856","787","117"
"82.500","1001","795","99"
"82.600","1159","814","85"
"82.700","751","762","133"
"82.800","828","809","119"
"82.900","498","820","179"
"83.000","160","798","702"
"83.100","564","787","177"
"83.200","1041","825","95"
"83.300","1035","776","96"
"83.400","685","782","146"
"83.500","681","805","145"
"83.600","816","788","123"
"83.700","1120","800","89"
"83.800","872","811","114"
"83.900","886","795","112"
"84.000","1054","801","94"
"84.100","910","817","110"
"84.200","1426","783","70"
"84.300","1184","808","84"
"84.400","1345","813","73"
"84.500","1199","778","84"
"84.600","1333","803","75"
"84.700","1327","809","74"
"84.800","790","785","127"
"84.900","1430","795","69"
"85.000","1089","799","89"
"85.100","410","805","243"
"85.200","1237","802","82"
"85.300","1111","800","90"
"85.400","882","794","113"
"85.500","1130","819","88"
"85.600","1046","813","95"
"85.700","351","748","280"
"85.800","1379","805","73"
"85.900","1487","815","67"
"86.000","1566","881","63"
"86.100","1034","915","96"
"86.200","1099","995","90"
"86.300","1074","837","92"
"86.400","1383","910","71"
"86.500","919","906","95"
"86.600","529","959","209"
"86.700","1095","913","92"
"86.800","1150","974","87"
"86.900","1453","894","68"
"87.000","1236","884","80"
"87.100","1038","895","96"
"87.200","1332","888","75"
"87.300","766","860","130"
"87.400","1074","814","92"
"87.500","1015","801","83"
"87.600","1110","1118","103"
"87.700","1249","935","80"
"87.800","1469","897","67"
"87.900","1671","878","60"
"88.000","1205","862","72"
"88.100","685","925","164"
"88.200","1512","946","66"
"88.300","902","924","102"
"88.400","1537","870","69"
"88.500","1564","870","63"
"88.600","1192","886","84"
"88.700","1555","832","63"
"88.800","1444","884","69"
"88.900","1553","886","64"
"89.000","1538","841","65"
"89.100","1457","857","68"
"89.200","1624","891","61"
"89.300","1229","845","81"
"89.400","1373","915","72"
"89.500","871","884","114"
"89.600","1235","836","80"
"89.700","1408","850","70"
"89.800","1564","869","64"
"89.900","1327","836","75"
"90.000","1430","904","69"
"90.100","899","886","111"
"90.200","1430","834","69"
"90.300","1436","839","69"
"90.400","1450","887","69"
"90.500","1590","821","62"
"90.600","1531","881","65"
"90.700","1588","859","62"
"90.800","1529","884","65"
"90.900","1559","825","63"
"91.000","1599","884","63"
"91.100","1453","832","68"
"91.200","1657","854","60"
"91.300","1410","829","70"
"91.400","1508","849","66"
"91.500","1398","836","71"
"91.600","1430","878","69"
"91.700","1754","872","57"
"91.800","1446","818","69"
"91.900","1684","840","59"
"92.000","1533","890","64"
"92.100","778","917","129"
"92.200","1151","880","86"
"92.300","1050","890","95"
"92.400","1657","877","60"
"92.500","1563","861","63"
"92.600","1574","869","64"
"92.700","1499","857","66"
"92.800","1503","856","66"
"92.900","1641","830","61"
"93.000","1430","858","69"
"93.100","1211","853","82"
"93.200","1563","840","64"
"93.300","1123","931","88"
"93.400","1016","866","99"
"93.500","1314","858","76"
"93.600","1362","861","73"
"93.700","1573","877","63"
"93.800","1311","824","75"
"93.900","1271","875","79"
"94.000","1208","889","82"
"94.100","1298","852","77"
"94.200","1395","867","71"
"94.300","1287","867","77"
"94.400","1481","849","66"
"94.500","1453","822","69"
"94.600","1157","809","86"
"94.700","1198","904","83"
"94.800","1266","854","78"
"94.900","1006","868","98"
